tempo,x1,y1,z1,x2,y2,z2,distanza
6120,6637.57,2149.14,0,6887,1477.7,0,716.278
6140,6587.9,2292.22,0,6873.04,1628.2,0,722.648
6160,6535.13,2434.22,0,6855.96,1777.97,0,730.473
6180,6479.3,2575.08,0,6835.81,1926.94,0,739.714
6200,6420.41,2714.72,0,6812.61,2075.06,0,750.328
6220,6358.51,2853.09,0,6786.41,2222.25,0,762.269
6240,6293.61,2990.11,0,6757.24,2368.48,0,775.488
6260,6225.74,3125.73,0,6725.13,2513.67,0,789.935
6280,6154.94,3259.87,0,6690.12,2657.78,0,805.559
6300,6081.23,3392.47,0,6652.26,2800.76,0,822.307
6320,6004.65,3523.47,0,6611.57,2942.55,0,840.129
6340,5925.24,3652.81,0,6568.11,3083.1,0,858.976
6360,5843.02,3780.41,0,6521.9,3222.37,0,878.8
6380,5758.04,3906.23,0,6472.99,3360.3,0,899.554
6400,5670.34,4030.21,0,6421.42,3496.84,0,921.195
6420,5579.95,4152.27,0,6367.23,3631.97,0,943.68
6440,5486.91,4272.36,0,6310.46,3765.62,0,966.971
6460,5391.27,4390.43,0,6251.16,3897.76,0,991.029
6480,5293.08,4506.42,0,6189.37,4028.34,0,1015.82
6500,5192.37,4620.27,0,6125.12,4157.33,0,1041.31
6520,5089.2,4731.92,0,6058.47,4284.69,0,1067.47
6540,4983.61,4841.33,0,5989.46,4410.38,0,1094.28
6560,4875.66,4948.44,0,5918.12,4534.35,0,1121.7
6580,4765.38,5053.19,0,5844.51,4656.58,0,1149.7
6600,4652.83,5155.54,0,5768.66,4777.03,0,1178.28
6620,4538.08,5255.43,0,5690.63,4895.67,0,1207.39
6640,4421.15,5352.82,0,5610.45,5012.47,0,1237.03
6660,4302.13,5447.66,0,5528.17,5127.39,0,1267.18
6680,4181.05,5539.9,0,5443.83,5240.4,0,1297.81
6700,4057.98,5629.51,0,5357.48,5351.47,0,1328.91
6720,3932.97,5716.42,0,5269.16,5460.58,0,1360.47
6740,3806.09,5800.61,0,5178.93,5567.7,0,1392.46
6760,3677.39,5882.03,0,5086.81,5672.79,0,1424.87
6780,3546.93,5960.64,0,4992.86,5775.85,0,1457.69
6800,3414.78,6036.4,0,4897.12,5876.83,0,1490.91
6820,3280.99,6109.27,0,4799.64,5975.72,0,1524.51
6840,3145.64,6179.23,0,4700.46,6072.49,0,1558.48
6860,3008.78,6246.23,0,4599.62,6167.13,0,1592.81
6880,2870.48,6310.24,0,4497.17,6259.61,0,1627.48
6900,2730.81,6371.23,0,4393.16,6349.9,0,1662.48
6920,2589.83,6429.17,0,4287.62,6438,0,1697.81
6940,2447.62,6484.04,0,4180.61,6523.88,0,1733.45
6960,2304.23,6535.8,0,4072.17,6607.53,0,1769.4
6980,2159.73,6584.42,0,3962.33,6688.92,0,1805.63
7000,2014.2,6629.9,0,3851.16,6768.04,0,1842.14
7020,1867.71,6672.19,0,3738.68,6844.88,0,1878.92
7040,1720.32,6711.29,0,3624.94,6919.42,0,1915.96
7060,1572.1,6747.17,0,3510,6991.64,0,1953.25
7080,1423.14,6779.81,0,3393.88,7061.53,0,1990.78
7100,1273.49,6809.21,0,3276.64,7129.08,0,2028.53
7120,1123.22,6835.33,0,3158.32,7194.28,0,2066.51
7140,972.425,6858.18,0,3038.96,7257.12,0,2104.69
7160,821.158,6877.74,0,2918.6,7317.58,0,2143.06
7180,669.498,6894,0,2797.29,7375.65,0,2181.63
7200,517.516,6906.95,0,2675.08,7431.33,0,2220.37
